"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Raleigh, Cal",663728,6.979936483421977,,,,,6.979936483421977,7.033476695343994,1.0488144213921524,-1.1023546333141714,3216,3216,0,0,0,0,0,0,0
"Robert Jr., Luis",673357,6.952516024999833,6.952516024999833,6.271290263951095,0.6812257610487403,,,,,,2597,0,0,0,0,0,0,2597,0
"Bogaerts, Xander",593428,6.607761195809539,6.607761195809539,5.39223032395288,0.2592307104811188,0.9563001613755385,,,,,3250,0,0,0,0,3250,0,0,0
"Harris II, Michael",671739,6.599699032888937,6.599699032888937,7.528436169527253,-0.9287371366383137,,,,,,4191,0,0,0,0,0,0,4191,0
"McMahon, Ryan",641857,6.576443416695824,6.576443416695824,4.804862210704666,0.5155974865420343,1.2559837194491257,,,,,3795,0,0,0,3795,0,0,0,0
"Carroll, Corbin",682998,6.554094645383219,6.554094645383219,9.168905372030975,-2.61481072664776,,,,,,3655,0,0,0,0,0,0,87,3568
"Murphy, Sean",669221,6.4989606515649525,,,,,6.4989606515649525,1.6343502442375517,2.856009432265803,2.008600975061601,1899,1899,0,0,0,0,0,0,0
"Giménez, Andrés",665926,6.4855100721370995,6.4855100721370995,7.562607884833649,,-1.0770978126965476,,,,,2516,0,0,2159,0,357,0,0,0
"Montgomery, Colson",695657,6.399370418505553,6.399370418505553,4.957499134115557,-0.12688386265684232,1.5687551470468393,,,,,1794,0,0,0,286,1508,0,0,0
"Frelick, Sal",686217,6.396978217296318,6.396978217296318,5.232149526270386,1.1648286910259325,,,,,,3570,0,3,0,3,0,0,213,3351
"Varsho, Daulton",662139,6.239877195186611,6.239877195186611,7.997586308422408,-1.7577091132357987,,,,,,1651,0,0,0,0,0,0,1651,0
"Schuemann, Max",680474,6.17740497003922,6.17740497003922,6.170608859624604,0.3002777077429956,-0.29348159732838236,,,,,1501,0,0,606,359,386,111,33,6
"Pagés, Pedro",686780,6.042236510977042,0.0754628507901855,0.0754628507901855,,,5.966773660186857,4.960929615826027,1.4810690937938462,-0.4752250494330202,2726,2705,9,12,0,0,0,0,0
"Lopez, Otto",672640,6.006699838858495,6.006699838858495,7.023078603797154,0.7709255588807806,-1.787304323819438,,,,,3666,0,0,796,0,2870,0,0,0
