"last_name, first_name","pitcher","ff_avg_spin","si_avg_spin","fc_avg_spin","sl_avg_spin","ch_avg_spin","cu_avg_spin","fs_avg_spin","kn_avg_spin","st_avg_spin","sv_avg_spin"
"Beeks, Jalen","656222","2152",,"2332",,"2134",,,,,
"Scott, Tanner","656945","2550",,,"2633","2382",,,,,
"Gibson, Cade","806188","2247","2260",,"2868","1952","2973",,,"3032",
"Pérez, Martín","527048","2071","1987","2220",,"1650","2443",,,,
"Hill, Tim","657612","2114","2058",,"2033",,,,,,
"García, Luis","472610","2224","2190",,,,,"1286",,"2474",
"Rogers, Taylor","573124","2237","2169",,,,,,,"2841",
"Festa, David","701581","2416","2297",,"2595","1758",,,,,
"Jobe, Jackson","695549","2384","2410",,"2729","1829","2925",,,"2882",
"Cleavinger, Garrett","664076","2362","2411","2569","2593",,,,,"2809",
"Jansen, Kenley","445276",,"2336","2602","2457",,,,,"2513",
"Clarke, Taylor","664199","2332","2307",,"2314","1757",,,,,
"Ross, Joe","605452","2221","2173",,"1958","1952","2061",,,,
"Waldrep, Hurston","694462","2203","2180","2287","2246",,"2310","762",,,
"Legumina, Casey","668984","2433","2288",,,"1583",,,,"2688",
"Montgomery, Mason","682254","2313",,,"2571",,,,,,
"Fluharty, Mason","689254",,"1949","2760",,,,,,"2747",
"Wilson, Bryse","669060","2207","2121","2128",,"1722","2447",,,,
"Hader, Josh","623352",,"2321",,"2562","1683",,,,,
"Finnegan, Kyle","640448","2239",,,"2211",,,"1026",,,
"Mears, Nick","683232","2282",,,"2513",,"2564",,,,
"Palencia, Daniel","694037","2345","2173",,"2284",,"2038","1159",,,
"Trivino, Lou","642152","2052","2047","2361",,"1732","2281",,,"2599",
"Brogdon, Connor","641401","2289",,"2338",,"2021",,,,,
"Thielbar, Caleb","573204","2327",,,"2338",,"2607",,,"2578",
"Gilbert, Tyler","656457","2258","2149","2311",,,,"1402",,"2457",
"Fisher, Braydon","680755","2289",,"2189","2313",,"2491",,,,
"Bernardino, Brennan","657514",,"2174","2315","2370","1601","2688",,,,
"Leiter Jr., Mark","643410","2111","2026","2092","2235",,"2287","675",,,
"Myers, Tobias","668964","2280",,"2158","2128","1801","2317","1529",,,
"Brash, Matt","666374","2189","2267",,"2951","1723","2992",,,,
"Morales, Luis","806960","2520",,,"2879","2075",,,,"2999",
"Beck, Tristan","663941","2130",,,"2486",,"2364",,,"2808",
"Festa, Matt","670036","2512","2436","2488",,,,,,"2666",
"Wilson, Justin","458677","2252",,"2371","2290",,,"1130",,,
"Walter, Brandon","687888","2179","2105","2303",,"2077",,,,"2555",
