"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"Caminero, Junior","691406","NA","5","Third Baseman","300","0","0","300","0","0","0","0","300","0","87",,,"83.8",,,,,"83.8",,"83.8"
"Sanoja, Javier","691594","NA","5","Third Baseman","307","0","103","75","40","55","34","0","218","89","89.5",,"78.6","80.7",,"83.5",,,"80.8","84.8","84.8"
"Karros, Kyle","691720","NA","5","Third Baseman","98","0","0","98","0","0","0","0","98","0","83.3",,,"82.8",,,,,"82.8",,"82.8"
"Muncy, Max","691777","NA","5","Third Baseman","175","0","86","68","21","0","0","0","175","0","85.9",,"79.2",,,,,,"83.5",,"83.5"
"House, Brady","691781","NA","5","Third Baseman","185","0","0","185","0","0","0","0","185","0","94.4",,,"88.7",,,,,"88.7",,"88.7"
"Mayer, Marcelo","691785","NA","5","Third Baseman","112","0","35","76","1","0","0","0","112","0","83.3",,,"81.3",,,,,"80.8",,"80.8"
"Durbin, Caleb","702332","NA","5","Third Baseman","373","0","31","336","6","0","0","0","373","0","86.5",,,"81.5",,,,,"81.4",,"81.4"
"Kemp, Otto","805249","NA","5","Third Baseman","159","63","8","69","0","19","0","0","77","19","87.3",,,,,,,,"82.9",,"82.9"
"Alvarez Jr., Nacho","805373","NA","5","Third Baseman","137","0","0","137","0","0","0","0","137","0","85",,,"81.6",,,,,"81.6",,"81.6"
"Shaw, Matt","807713","NA","5","Third Baseman","269","0","0","269","0","0","0","0","269","0","88.7",,,"81.9",,,,,"81.9",,"81.9"
"Williamson, Ben","810938","NA","5","Third Baseman","193","0","0","193","0","0","0","0","193","0","87.1",,,"83.6",,,,,"83.6",,"83.6"
"Bogaerts, Xander","593428","NA","6","Shortstop","519","0","0","0","519","0","0","0","519","0","86.3",,,,"81.7",,,,"81.7",,"81.7"
"Báez, Javier","595879","NA","6","Shortstop","377","0","27","41","226","0","83","0","294","83","92.7",,,,"87.2",,"89.1",,"87.1","89.1","89.1"
"Lindor, Francisco","596019","NA","6","Shortstop","819","0","0","0","819","0","0","0","819","0","87.5",,,,"81.1",,,,"81.1",,"81.1"
"Story, Trevor","596115","NA","6","Shortstop","783","0","0","0","783","0","0","0","783","0","87.2",,,,"82.3",,,,"82.3",,"82.3"
"Betts, Mookie","605141","NA","6","Shortstop","612","0","0","0","611","0","0","1","611","1","86.9",,,,"81.4",,,,"81.4",,"81.4"
"Arcia, Orlando","606115","NA","6","Shortstop","198","21","59","34","84","0","0","0","177","0","87.1",,,,"84.8",,,,"85.4",,"85.4"
"Turner, Trea","607208","NA","6","Shortstop","651","0","0","0","651","0","0","0","651","0","84.5",,,,"82.3",,,,"82.3",,"82.3"
"Seager, Corey","608369","NA","6","Shortstop","427","0","0","0","427","0","0","0","427","0","84.4",,,,"80.1",,,,"80.1",,"80.1"
"Swanson, Dansby","621020","NA","6","Shortstop","680","0","0","0","680","0","0","0","680","0","84.1",,,,"79.6",,,,"79.6",,"79.6"
"Correa, Carlos","621043","NA","6","Shortstop","553","0","0","121","432","0","0","0","553","0","89.6",,,"84.9","85.5",,,,"85.4",,"85.4"
"Crawford, J.P.","641487","NA","6","Shortstop","499","0","0","0","499","0","0","0","499","0","82.5",,,,"79.6",,,,"79.6",,"79.6"
"Adames, Willy","642715","NA","6","Shortstop","741","0","0","0","741","0","0","0","741","0","89.8",,,,"87.2",,,,"87.2",,"87.2"
"Kiner-Falefa, Isiah","643396","NA","6","Shortstop","578","0","15","83","480","0","0","0","578","0","84.6",,,"80.2","79.7",,,,"79.9",,"79.9"
